edname,small_area,vector
Firhouse-Ballycullen,267085002,0.032276304607024534
Swords-Glasmore,267131020,0.03227470867325979
Lucan-Esker,267100069,0.03227357600454555
Glencullen,267092036,0.03227130715424051
Bohernabreena,267035013,0.03226593185883564
Blanchardstown-Blakestown,267028061,0.032260389887832884
Blanchardstown-Blakestown,267028060,0.03223600276688352
Glencullen,267092052,0.032230723483081467
Skerries,267123006,0.0322154808754377
Balgriffin,267005002,0.03221039739808674
Lucan-Esker,267100040,0.03220255675823443
Donabate,267065020,0.03217907459316716
Lusk,267104024,0.032159446271616945
Castleknock-Knockmaroon,267040040,0.032154708181854806
Lusk,267104006,0.03211701259198419
Castleknock-Knockmaroon,267040039,0.032110121577710586
Swords-Forrest,267132018,0.032108775631231934
Grange A,268071018,0.0321057118284756
Castleknock-Knockmaroon,267040043,0.03207635311665279
Rush,267118029,0.0320686439534697
Castleknock-Knockmaroon,267040036,0.032067415478229104
Ashtown A,268006015,0.03205904854457014
Lucan-Esker,267100090,0.03204904201945949
Ballinteer-Woodpark,267007003,0.03204315087932449
Lusk,267104011,0.032018003792905404
Balbriggan Urban,267003001,0.03200315101796578
Blanchardstown-Blakestown,267028068,0.032001868378330765
Lucan-Esker,267100010,0.03200123473218087
Skerries,267123003,0.03199148763931226
Bohernabreena,267035005,0.031961202189988165
Firhouse Village,267084011,0.031942943879812696
Rush,267118011,0.03192520109297503
Balgriffin,267005006,0.031898151432647556
Swords-Lissenhall,267133009,0.03189707700723449
Tallaght-Jobstown,267140002,0.03188748562880539
Lucan-Esker,267100005,0.03187663283081798
Firhouse Village,267084019,0.0318403561614553
Edmondstown,267083005,0.03183957488680321
Malahide East,267105021,0.03180300947710631
Lucan-Esker,267100062,0.031784621714362075
Donabate,267065021/02,0.031767047498717754
Grange A,268071021,0.03174286297578603
Blanchardstown-Blakestown,267028099,0.03172681601776487
Lucan North,267102004,0.03171399589727763
Donabate,267065016,0.0316927307750434
Swords-Seatown,267134015,0.0316694010336398
The Ward,267158002,0.031650591417395534
Swords-Lissenhall,267133008,0.03164758279213355
Lusk,267104020,0.03164266776040008
Blanchardstown-Blakestown,267028089,0.03163449168582129
Glencullen,267092035,0.031614173699771576
Blanchardstown-Blakestown,267028039,0.03157458624742759
Lucan North,267102002,0.031520431918273854
Blanchardstown-Mulhuddart,267032003,0.031520274602347645
Lusk,267104026,0.03149875249565018
Lusk,267104013,0.031495858428872495
Firhouse Village,267084012,0.031481762360818184
Swords-Forrest,267132002,0.03148010802107416
Blanchardstown-Mulhuddart,267032001,0.03146596074759155
Castleknock-Knockmaroon,267040035,0.03145678078725679
Lucan North,267102003,0.031442526737268536
Lucan-Esker,267100041,0.03143649864984983
Firhouse Village,267084018,0.03142261219300216
Lusk,267104025,0.0314090510511801
Lucan-Esker,267100086,0.03140177344344679
Blanchardstown-Blakestown,267028079,0.031378574048322554
Rush,267118022,0.03134235303202437
Swords-Seatown,267134026,0.03130965567382572
Kinsaley,267099013,0.03130250107655928
Lusk,267104014,0.03129188903256089
Shankill-Rathmichael,267120006,0.03125947365215916
Glencullen,267092048,0.0312550243496292
Balbriggan Rural,267002004,0.03124960359880358
Blanchardstown-Blakestown,267028040,0.031240721232468006
Blanchardstown-Mulhuddart,267032004,0.031210621167889616
Lucan-Esker,267100006,0.031187652980244052
Firhouse-Ballycullen,267085024,0.03116934012848441
Swords-Seatown,267134013,0.031160396556722272
Lucan-Esker,267100034,0.03115834927368526
The Ward,267158015,0.031148430786865466
Glencullen,267092043,0.031130611984608265
Balbriggan Rural,267002035,0.031130609827237747
Ayrfield,268008013,0.031114073730067936
The Ward,267158025,0.031110342103063716
Lucan-Esker,267100074,0.031095406070872567
Lusk,267104005,0.031075786656596355
Castleknock-Knockmaroon,267040041,0.031072779162615218
The Ward,267158008,0.03105173286188144
Balbriggan Rural,267002017,0.031039291561586482
Tallaght-Jobstown,267140041,0.031013206381324605
Blanchardstown-Abbotstown,267027017,0.031008230784077762
Blanchardstown-Blakestown,267028069,0.030998907238638546
Swords-Seatown,267134014,0.03099158559381496
The Ward,267158020,0.030970090046570104
Tallaght-Jobstown,267140010,0.030967697823480734
Blanchardstown-Blakestown,267028083,0.03096157197334473
Blanchardstown-Blakestown,267028041,0.03093993532595598
Tallaght-Jobstown,267140009,0.030938829025169222
Tallaght-Jobstown,267140021,0.030909640677063543
Glencullen,267092023,0.030907565197660965
Skerries,267123007,0.030905638265123495
Lucan-Esker,267100004,0.030857631787231922
