edname,small_area,vector
Grange B,268072003,0.014551255110209469
Beaumont B,268022005,0.01454992517485983
Ayrfield,268008004,0.014543246856509403
Clondalkin-Monastery,267050019,0.014543177005016629
Tallaght-Oldbawn,267146009,0.014543073638597838
Priorswood A,268121005,0.014537075809216348
Blanchardstown-Delwood,267031008,0.014535400174325799
Harmonstown A,268076004,0.014534278460487465
Tallaght-Oldbawn,267146001,0.014516765478707712
Whitehall B,268158005,0.014515925869499714
Tallaght-Oldbawn,267146007,0.014515284044492233
Tallaght-Kingswood,267144006,0.014514855954837855
Tallaght-Belgard,267137002,0.014513913729698825
Finglas South B,268067003,0.014511064445772921
Grange A,268071010,0.014500515338184581
Ayrfield,268008007,0.014493538936548488
Tallaght-Oldbawn,267146005,0.014484442746673484
Balbriggan Urban,267003006,0.014480740971663129
Ballygall C,268011008,0.014474719045498852
Swords-Forrest,267132039,0.014472145272064295
Swords-Lissenhall,267133028,0.01446626669732909
Tallaght-Millbrook,267145007,0.014464336736260828
Beaumont A,268021009,0.01446023311121883
Tallaght-Kingswood,267144009,0.014455875232504061
Beaumont B,268022009,0.014449752014389158
Tallaght-Tymon,267148014,0.014443005321108912
Botanic A,268027002,0.01444172531649154
Grange C,268073005,0.014440586381050058
Sutton,267130005,0.014439102772820997
Beaumont E,268025007,0.014438521750814134
Kilmore D,268087003,0.014437446645246842
Lucan-St. Helen's,267103029,0.014433593283403889
Balbriggan Urban,267003014,0.014431255554218479
Beaumont C,268023002,0.014428775277461758
Clondalkin-Dunawley,267049011,0.014428442992277269
Grange E,268075003,0.014422822138376057
Tallaght-Millbrook,267145004,0.014422104067937534
Grange B,268072014,0.014416450345893035
Lucan-St. Helen's,267103021,0.014415621756368511
Ashtown A,268006004,0.014399997034340778
Clondalkin-Monastery,267050018,0.014397191319127669
Swords Village,267135009,0.014397033778064785
Cabinteely-Pottery,267039016,0.01439270598442479
Swords-Forrest,267132003,0.014392201724528632
Baldoyle,267004008,0.01438824009627565
Tallaght-Oldbawn,267146006,0.014387558803853699
Clondalkin-Dunawley,267049009,0.014386743908950296
Grange D,268074006,0.01438580699022833
Kilmore D,268087007,0.014384155255198297
Harmonstown A,268076006,0.014374328692365082
Ballinteer-Meadowmount,267012004,0.014371559931667305
Tallaght-Belgard,267137004,0.014357516681518152
Ayrfield,268008005,0.014348081118498748
Tallaght-Kilnamanagh,267142014,0.014344428224511069
Grange E,268075005,0.014343995013426114
Edenmore,268062001,0.01434170832560508
Blanchardstown-Coolmine,267029009,0.014340834258800977
Lusk,267104022,0.01433814101538425
Ballygall C,268011001,0.014334713524681192
Newcastle,267107008,0.014332969978495503
Harmonstown A,268076005,0.014323877331918904
Palmerston West,267109017,0.014320524335038448
Blanchardstown-Blakestown,267028018,0.014300696609552778
Beaumont B,268022008,0.014300187095114667
Templeogue-Osprey,267153008,0.014284197533060353
Churchtown-Nutgrove,267044006,0.014283636481258348
Tallaght-Avonbeg,267136003,0.01428350291544657
Lucan-Esker,267100012,0.01427933272371979
Balbriggan Urban,267003019,0.014277691675037172
Grange C,268073006,0.014276839188296963
Shankill-Shanganagh,267122006,0.014274392699883287
Grange E,268075009,0.014273894372791678
Tallaght-Tymon,267148007,0.014271214071742241
Baldoyle,267004027,0.014266718873501104
Ayrfield,268008015,0.014261872454083115
Clondalkin Village,267053028,0.014256418896916275
Ballinteer-Broadford,267008007,0.014252219768509504
Ballinteer-Ludford,267009006,0.014250303307674118
Templeogue-Osprey,267153006,0.01424450290554767
Terenure-Cherryfield,267155008,0.014244117735322335
Tallaght-Springfield,267147002,0.014243059212870007
Beaumont C,268023001,0.014242898198793005
Priorswood E,268123006,0.014241777500100118
Killiney South,267097019,0.014237119394664004
Priorswood E,268123007,0.014236234813699662
