ogc_fid,fid,ogc_fid1,ogc_fid0,edname,small_area
1,1,3.0,12700.0,Priorswood E,268123009
2,4,444.0,441.0,Ballinascorney,267006001
4,6,445.0,442.0,Bohernabreena,267035001
6,8,446.0,443.0,Newcastle,267107002
8,12,448.0,445.0,Glencullen,267092001
10,18,453.0,450.0,The Ward,267158009/02
12,20,454.0,451.0,Dubber,267066001
13,21,1393.0,1390.0,Balbriggan Rural,267002034
15,27,1586.0,1583.0,Garristown,267091003
17,29,1653.0,1650.0,Garristown,267091002
18,30,1654.0,1651.0,Garristown,267091004
20,34,1656.0,1653.0,Hollywood,267093002
22,36,1657.0,1654.0,Swords-Lissenhall,267133001
23,37,1658.0,1655.0,Donabate,267065001
25,39,1659.0,1656.0,Swords-Lissenhall,267133031
26,40,1660.0,1657.0,Ballyboghil,267014003
27,41,1661.0,1658.0,Ballyboghil,267014001
28,42,1662.0,1659.0,Lusk,267104001
29,43,1663.0,1660.0,Lusk,267104002
31,45,1805.0,1802.0,Lucan North,267102001
33,47,1806.0,1803.0,Lucan Heights,267101018
34,52,1838.0,1835.0,Kilsallaghan,267098002
36,54,1839.0,1836.0,Clonmethan,267054002
37,55,1840.0,1837.0,Clonmethan,267054001
39,57,1841.0,1838.0,Ballyboghil,267014002
40,62,1884.0,1881.0,Blanchardstown-Tyrrelstown,267034001/01
42,64,1885.0,1882.0,Phoenix Park,268118001
43,65,2264.0,2261.0,Garristown,267091001
45,67,2266.0,2263.0,Hollywood,267093001
46,68,2267.0,2264.0,Holmpatrick,267094001/267094002/267094005
47,71,2278.0,2275.0,Balscadden,267016001
49,73,2279.0,2276.0,Balscadden,267016002
51,75,2280.0,2277.0,Donabate,267065027/267065031
53,81,4148.0,4145.0,Blanchardstown-Abbotstown,267027016/02
54,82,4149.0,4146.0,Blanchardstown-Abbotstown,267027002
55,83,4151.0,4148.0,The Ward,267158012
56,84,4152.0,4149.0,The Ward,267158001
58,86,4153.0,4150.0,Dubber,267066016
59,87,4154.0,4151.0,Kilsallaghan,267098001
61,89,4155.0,4152.0,Kilsallaghan,267098005
62,90,4156.0,4153.0,North Dock B,268108026/268108027
64,92,4157.0,4154.0,Raheny-St. Assam,268126006
66,94,4158.0,4155.0,Airport,267001009/02
67,95,4159.0,4156.0,Balgriffin,267005001
68,96,4346.0,4343.0,Tibradden,267159001
70,98,4347.0,4344.0,Glencullen,267092003
71,99,4348.0,4345.0,Glencullen,267092002
72,100,4349.0,4346.0,Glencullen,267092022
73,101,4350.0,4347.0,Shankill-Rathmichael,267120001
75,103,4351.0,4348.0,Cabinteely-Loughlinstown,267038003
76,104,4352.0,4349.0,Pembroke East A,268110015
78,106,4353.0,4350.0,Lucan-St. Helen's,267103001/01
80,110,5028.0,5026.0,Phoenix Park,268118002
81,111,5042.0,5040.0,Glencullen,267092055/01
82,112,5043.0,5041.0,Shankill-Rathmichael,267120004
84,114,5044.0,5042.0,Shankill-Rathmichael,267120002
85,115,5045.0,5043.0,Shankill-Rathmichael,267120008
87,117,5046.0,5044.0,Shankill-Shanganagh,267122003
89,119,5048.0,5046.0,Ushers A,268148004/01
90,120,5128.0,5126.0,Castleknock-Park,267041015
91,121,5129.0,5127.0,Blanchardstown-Mulhuddart,267032011
92,122,5134.0,5132.0,Blanchardstown-Tyrrelstown,267034001/04
94,124,5135.0,5133.0,Kilsallaghan,267098003
95,125,5136.0,5134.0,Kilsallaghan,267098004
96,126,5137.0,5135.0,Clontarf West D,268049004
98,128,5138.0,5136.0,Clontarf East B,268042017
100,130,5139.0,5137.0,Clontarf East A,268041007
102,132,5140.0,5138.0,Airport,267001010/02
103,133,5141.0,5139.0,Priorswood A,268121002
104,134,5142.0,5140.0,Balgriffin,267005005
105,137,5401.0,5399.0,Ballinascorney,267006002
106,138,5402.0,5400.0,Firhouse-Ballycullen,267085011
107,139,5403.0,5401.0,Edmondstown,267083001
108,140,5455.0,5453.0,Rathcoole,267112008/02
109,141,5456.0,5454.0,Newcastle,267107003
110,142,5836.0,5834.0,Portmarnock South,267111005
111,145,6363.0,6361.0,Kilsallaghan,267098006
112,146,6364.0,6362.0,Clonmethan,267054003
113,149,6366.0,6364.0,Hollywood,267093004
115,151,6367.0,6365.0,Lusk,267104019
116,152,6368.0,6366.0,Donabate,267065029
118,154,6369.0,6367.0,Rush,267118005
119,155,6370.0,6368.0,Holmpatrick,267094008
120,156,6371.0,6369.0,Holmpatrick,267094003
121,157,6441.0,6439.0,Donabate,267065008
123,159,6442.0,6440.0,Donabate,267065010
125,161,6443.0,6441.0,Lusk,267104015
127,163,6444.0,6442.0,Lusk,267104017
128,164,6445.0,6443.0,Lusk,267104003
129,165,6446.0,6444.0,Balbriggan Rural,267002001
130,166,6447.0,6445.0,Hollywood,267093003
132,168,6448.0,6446.0,Balbriggan Rural,267002041
134,170,6449.0,6447.0,Balbriggan Rural,267002002
135,171,6450.0,6448.0,Holmpatrick,267094004
136,172,6451.0,6449.0,Holmpatrick,267094006/01
137,173,6559.0,6557.0,Holmpatrick,267094006/02
139,175,6560.0,6558.0,Holmpatrick,267094007
141,177,6561.0,6559.0,Holmpatrick,267094009
143,181,6741.0,6739.0,Newcastle,267107008
144,182,6742.0,6740.0,Tallaght-Fettercairn,267138002
145,183,6743.0,6741.0,Tallaght-Fettercairn,267138018
146,186,6745.0,6743.0,Shankill-Rathmichael,267120014
147,187,6746.0,6744.0,Cabinteely-Loughlinstown,267038007
148,188,6747.0,6745.0,Cabinteely-Loughlinstown,267038004
149,189,6748.0,6746.0,Killiney South,267097001
150,190,6749.0,6747.0,Ballinteer-Marley,267010001
151,191,6812.0,6810.0,Foxrock-Beechpark,267087003
152,192,6818.0,6816.0,Howth,267095004
154,194,6819.0,6817.0,Baldoyle,267004010
156,196,6820.0,6818.0,Baldoyle,267004011
158,198,6821.0,6819.0,Howth,267095005
160,200,6822.0,6820.0,Howth,267095027
162,202,6823.0,6821.0,Howth,267095019/267095021
164,204,6824.0,6822.0,Swords-Forrest,267132011
165,205,6825.0,6823.0,Kinsaley,267099015
166,206,6826.0,6824.0,Kinsaley,267099021
167,207,6831.0,6829.0,Lucan-St. Helen's,267103001/02
169,209,6832.0,6830.0,Clondalkin-Dunawley,267049001
170,210,6833.0,6831.0,Tallaght-Oldbawn,267146005
171,211,6834.0,6832.0,Tallaght-Belgard,267137001
172,212,6835.0,6833.0,Edmondstown,267083002
173,213,6836.0,6834.0,Templeogue-Osprey,267153001
174,214,6837.0,6835.0,Tallaght-Kilnamanagh,267142014
175,215,6838.0,6836.0,Dún Laoghaire-Salthill,267075008
177,217,6839.0,6837.0,Dún Laoghaire-East Central,267067003
179,223,6842.0,6840.0,Lucan-St. Helen's,267103002
180,224,6843.0,6841.0,Lucan-St. Helen's,267103003
182,228,6845.0,6843.0,Blanchardstown-Blakestown,267028004/02
184,230,6847.0,6845.0,Kinsaley,267099020
185,231,6848.0,6846.0,Kinsaley,267099028/02
186,232,6849.0,6847.0,Kinsaley,267099031
187,233,6850.0,6848.0,Kinsaley,267099028/01
188,234,6851.0,6849.0,Swords-Glasmore,267131001
189,235,6915.0,6913.0,Clondalkin-Moorfield,267051001
190,236,6916.0,6914.0,Clondalkin-Monastery,267050037
191,237,6917.0,6915.0,Cherry Orchard C,268040005
192,240,6919.0,6917.0,Glencullen,267092005
194,242,6920.0,6918.0,Glencullen,267092004
195,243,6921.0,6919.0,Glencullen,267092021
196,244,6922.0,6920.0,Glencullen,267092056
197,245,6925.0,6923.0,Blanchardstown-Coolmine,267029013/01
198,248,6927.0,6925.0,Castleknock-Knockmaroon,267040060
199,249,6929.0,6927.0,Swords-Forrest,267132044
200,250,6930.0,6928.0,Swords-Seatown,267134007/267134025
202,252,6931.0,6929.0,Malahide West,267106005
203,253,6932.0,6930.0,Portmarnock South,267111001
205,261,7554.0,7552.0,Rathcoole,267112001
207,263,7555.0,7553.0,Rathcoole,267112002
209,265,7556.0,7554.0,Saggart,267119001
211,267,7557.0,7555.0,Saggart,267119003
212,268,7558.0,7556.0,Bohernabreena,267035002
213,269,7559.0,7557.0,Bohernabreena,267035011
214,270,7560.0,7558.0,Bohernabreena,267035012
216,272,7561.0,7559.0,Newcastle,267107001
218,274,7562.0,7560.0,Saggart,267119002
219,275,7563.0,7561.0,Newcastle,267107005/02
221,277,7564.0,7562.0,Newcastle,267107005/01
223,279,7565.0,7563.0,Clondalkin Village,267053001
224,280,7566.0,7564.0,Clondalkin-Cappaghmore,267048001
225,281,7567.0,7565.0,Clondalkin-Ballymount,267047006
226,284,8346.0,8344.0,Foxrock-Torquay,267090003
227,285,8347.0,8345.0,Cabinteely-Pottery,267039007
228,286,8355.0,8353.0,Grace Park,268070008
229,287,8356.0,8354.0,Clontarf West C,268048015
230,288,8357.0,8355.0,Clontarf East C,268043001
231,289,8385.0,8383.0,Turnapin,267160006
232,290,8386.0,8384.0,Kilmore B,268089011
233,291,8387.0,8385.0,Blanchardstown-Blakestown,267028005
234,292,8388.0,8386.0,Stillorgan-Mount Merrion,267128001
235,293,8389.0,8387.0,Clonskeagh-Belfield,267056002
236,294,8390.0,8388.0,Pembroke East D,268113016
237,295,8391.0,8389.0,Grange A,268071026/268071027/268071002/02
238,296,8392.0,8390.0,Chapelizod,268037002
239,297,8393.0,8391.0,Blanchardstown-Blakestown,267028002
240,298,8397.0,8395.0,Howth,267095024
241,299,8398.0,8396.0,Howth,267095016
242,300,8399.0,8397.0,Howth,267095022
244,302,8400.0,8398.0,Howth,267095033
246,304,8401.0,8399.0,Howth,267095031
248,306,8402.0,8400.0,Dún Laoghaire-West Central,267077009
250,308,8403.0,8401.0,Dalkey-Coliemore,267064003/267064004
252,310,8404.0,8402.0,Lucan-St. Helen's,267103011
253,311,8424.0,8422.0,Palmerston Village,267108001
254,312,8425.0,8423.0,Drumfinn,268061011
255,313,8426.0,8424.0,Palmerston West,267109015
256,314,8429.0,8427.0,Finglas North C,268065007
257,315,8430.0,8428.0,Finglas North B,268064009
258,316,8431.0,8429.0,Ballygall C,268011012
259,317,8432.0,8430.0,Castleknock-Knockmaroon,267040064
260,318,8433.0,8431.0,Blanchardstown-Roselawn,267033001
261,319,8434.0,8432.0,Blanchardstown-Corduff,267030004
262,320,8435.0,8433.0,Pembroke East D,268113008
263,321,8436.0,8434.0,Chapelizod,268037003
264,322,8437.0,8435.0,Blanchardstown-Corduff,267030012
265,325,8442.0,8440.0,Cabinteely-Pottery,267039013
266,328,8445.0,8443.0,Lucan-St. Helen's,267103015
267,329,8456.0,8454.0,Portmarnock North,267110004
268,330,8466.0,8464.0,Ballygall B,268013006
269,331,8467.0,8465.0,Ballymun E,268019002
270,332,8468.0,8466.0,Ballymun E,268019001
271,333,8469.0,8467.0,Ballygall C,268011002
272,334,8470.0,8468.0,Blanchardstown-Corduff,267030009
273,335,8471.0,8469.0,Drumcondra South A,268058008
274,336,8472.0,8470.0,Finglas South B,268067015
275,337,8473.0,8471.0,Finglas North A,268063011
276,338,8474.0,8472.0,Lucan-St. Helen's,267103030
277,341,8478.0,8476.0,Blanchardstown-Blakestown,267028019
278,342,8479.0,8477.0,Blanchardstown-Coolmine,267029035
279,343,8483.0,8481.0,Cabinteely-Pottery,267039015
280,344,8484.0,8482.0,Dalkey Upper,267061003
281,345,8507.0,8505.0,Clontarf East D,268044004
282,346,8508.0,8506.0,Grace Park,268070022
283,347,8509.0,8507.0,Grace Park,268070015
284,348,8510.0,8508.0,Turnapin,267160001
285,349,8518.0,8516.0,Clontarf East D,268044003
286,350,8519.0,8517.0,Priorswood B,268122003
287,351,8520.0,8518.0,Priorswood C,268119010
288,352,8521.0,8519.0,Balgriffin,267005003
289,353,8522.0,8520.0,Lucan Heights,267101013
290,354,8523.0,8521.0,Lucan Heights,267101005
291,355,8524.0,8522.0,Lucan-Esker,267100081
292,356,8525.0,8523.0,Castleknock-Knockmaroon,267040042
293,357,8526.0,8524.0,Blanchardstown-Coolmine,267029029
294,358,8527.0,8525.0,Blanchardstown-Coolmine,267029007
295,359,8528.0,8526.0,Blanchardstown-Coolmine,267029013/02
296,360,8529.0,8527.0,Blanchardstown-Blakestown,267028040
298,362,8530.0,8528.0,Kilmore B,268089005
299,363,8534.0,8532.0,Dalkey Hill,267060005
300,364,8535.0,8533.0,Dalkey-Bullock,267063003
301,365,8556.0,8554.0,Kinsaley,267099026
302,366,8557.0,8555.0,Kinsaley,267099027
303,367,8558.0,8556.0,Castleknock-Knockmaroon,267040012
304,368,8559.0,8557.0,Clontarf East A,268041008
305,369,8560.0,8558.0,Firhouse Village,267084001
306,370,8561.0,8559.0,Terenure B,268145004
307,371,8562.0,8560.0,Glencullen,267092008/01
308,372,8563.0,8561.0,Dundrum-Balally,267078003
309,373,8564.0,8562.0,Rathcoole,267112005/02
310,374,8565.0,8563.0,Newcastle,267107012
311,375,8566.0,8564.0,Foxrock-Carrickmines,267088001
312,376,8567.0,8565.0,Shankill-Rathsallagh,267121006
313,377,8568.0,8566.0,Rathfarnham,268127010
314,378,8569.0,8567.0,The Ward,267158005
315,379,8570.0,8568.0,Finglas North A,268063010
316,380,8571.0,8569.0,Finglas North C,268065013
317,381,8572.0,8570.0,Dubber,267066019
318,382,8573.0,8571.0,Ballymun A,268015006/268015015
319,383,8574.0,8572.0,Templeogue-Limekiln,267151006
320,384,8575.0,8573.0,Firhouse-Ballycullen,267085014/01
321,385,8580.0,8578.0,Clontarf East A,268041002
322,386,8581.0,8579.0,Whitehall A,268157002
323,387,8582.0,8580.0,Whitehall A,268157009/02
324,388,8583.0,8581.0,Whitehall A,268157005
325,389,8584.0,8582.0,Whitehall B,268158005
326,390,8585.0,8583.0,Whitehall B,268158003
327,391,8586.0,8584.0,Whitehall B,268158002
328,392,8587.0,8585.0,Kilmore A,268088001
329,393,8588.0,8586.0,Cabinteely-Loughlinstown,267038001
330,394,8589.0,8587.0,Glencullen,267092026/267092050
331,395,8590.0,8588.0,Stillorgan-Merville,267127003/01
332,396,8591.0,8589.0,Blackrock-Williamstown,267026002
333,397,8592.0,8590.0,Stillorgan-Mount Merrion,267128003
334,398,8593.0,8591.0,Blackrock-Carysfort,267020018
335,399,8599.0,8597.0,Dubber,267066011
336,400,8600.0,8598.0,Harmonstown B,268077004
337,401,8601.0,8599.0,Clondalkin Village,267053028
338,402,8602.0,8600.0,Clondalkin Village,267053031
339,403,8603.0,8601.0,Cabinteely-Loughlinstown,267038010
340,404,8604.0,8602.0,Cabinteely-Kilbogget,267037002
341,405,8605.0,8603.0,Cabinteely-Pottery,267039001
342,406,8606.0,8604.0,Killiney North,267096001
343,407,8607.0,8605.0,Killiney North,267096004
344,408,8608.0,8606.0,Killiney North,267096003
345,409,8609.0,8607.0,Killiney North,267096007
347,411,8610.0,8608.0,Killiney North,267096006
348,412,8611.0,8609.0,Dalkey Hill,267060001
350,414,8612.0,8610.0,Clonskeagh-Windy Arbour,267059005
351,415,8613.0,8611.0,Clonskeagh-Roebuck,267058005
352,416,8614.0,8612.0,Dundrum-Balally,267078012
353,417,8615.0,8613.0,Foxrock-Torquay,267090004
354,418,8616.0,8614.0,Killiney South,267097015
356,420,8617.0,8615.0,Firhouse-Ballycullen,267085026
357,421,8618.0,8616.0,Firhouse-Knocklyon,267086010
358,422,8619.0,8617.0,Foxrock-Carrickmines,267088014
359,423,8620.0,8618.0,Dundrum-Balally,267078013/01
360,424,8621.0,8619.0,Stillorgan-Kilmacud,267125005
361,425,8622.0,8620.0,Clontarf East C,268043007
362,426,8623.0,8621.0,Clontarf East C,268043002
363,427,8624.0,8622.0,Clontarf East B,268042013
364,428,8625.0,8623.0,Saggart,267119006/02
365,429,8626.0,8624.0,Rathcoole,267112013
366,430,8627.0,8625.0,Newcastle,267107004
367,431,8628.0,8626.0,Raheny-St. Assam,268126010
368,432,8629.0,8627.0,Swords-Forrest,267132001/03
369,433,8630.0,8628.0,Swords-Forrest,267132001/02
370,434,8631.0,8629.0,Sutton,267130019
372,436,8632.0,8630.0,Howth,267095020
374,438,8633.0,8631.0,Howth,267095018
375,439,8634.0,8632.0,Howth,267095011
377,441,8635.0,8633.0,Baldoyle,267004008
378,442,8636.0,8634.0,Baldoyle,267004007
379,443,8637.0,8635.0,Grange E,268075011
380,444,8638.0,8636.0,Ayrfield,268008016
381,445,8639.0,8637.0,Raheny-Foxfield,268124001
382,446,8640.0,8638.0,Grange D,268074014
383,447,8641.0,8639.0,Grange D,268074003
384,448,8642.0,8640.0,Raheny-Foxfield,268124005
385,449,8643.0,8641.0,Raheny-Foxfield,268124002
386,450,8644.0,8642.0,Raheny-Greendale,268125006
387,451,8645.0,8643.0,Priorswood D,268120009
388,452,8646.0,8644.0,Stillorgan-Deerpark,267124009
389,453,8647.0,8645.0,Clonskeagh-Roebuck,267058001
390,454,8648.0,8646.0,Blackrock-Templehill,267025004
391,455,8649.0,8647.0,Rathmines East C,268130010
392,456,8650.0,8648.0,Rathmines West C,268134004
393,457,8651.0,8649.0,Rathmines East B,268129006
394,458,8655.0,8653.0,Clontarf East A,268041001
395,459,8656.0,8654.0,Harmonstown A,268076001
396,460,8657.0,8655.0,Stillorgan-Mount Merrion,267128005
397,461,8658.0,8656.0,Lucan-Esker,267100007
398,462,8659.0,8657.0,Lucan-Esker,267100018
399,463,8660.0,8658.0,Clondalkin-Cappaghmore,267048004
400,464,8661.0,8659.0,Firhouse-Knocklyon,267086005
401,465,8662.0,8660.0,Edmondstown,267083010
402,466,8663.0,8661.0,Rathfarnham-St. Enda's,267116011
403,467,8664.0,8662.0,Tallaght-Millbrook,267145001
404,468,8665.0,8663.0,Firhouse Village,267084028
405,469,8666.0,8664.0,Tallaght-Avonbeg,267136005
406,470,8667.0,8665.0,Firhouse Village,267084039
407,471,8668.0,8666.0,Tallaght-Glenview,267139007
408,472,8669.0,8667.0,Tallaght-Springfield,267147030
409,473,8670.0,8668.0,Tallaght-Kingswood,267144002
410,474,8671.0,8669.0,Tallaght-Tymon,267148002
411,475,8672.0,8670.0,Tallaght-Tymon,267148012
412,476,8673.0,8671.0,Tallaght-Tymon,267148005
413,477,8674.0,8672.0,Stillorgan-Mount Merrion,267128008
414,478,8675.0,8673.0,Blackrock-Central,267021011
415,479,8676.0,8674.0,Pembroke East E,268114002
416,480,8677.0,8675.0,Kilmainham A,268083010
417,481,8678.0,8676.0,Kinsaley,267099032
418,482,8679.0,8677.0,Churchtown-Woodlawn,267046006
419,483,8680.0,8678.0,Templeogue-Cypress,267149006
420,484,8681.0,8679.0,Rathfarnham-Butterfield,267114001
421,485,8682.0,8680.0,Grange A,268071024
422,486,8683.0,8681.0,Howth,267095007
424,488,8684.0,8682.0,Howth,267095023
425,489,8685.0,8683.0,Sutton,267130001
426,490,8686.0,8684.0,Sutton,267130014
428,492,8687.0,8685.0,Sutton,267130016
429,493,8688.0,8686.0,Howth,267095002
431,495,8689.0,8687.0,Newcastle,267107010
432,496,8690.0,8688.0,Newcastle,267107009
433,497,8691.0,8689.0,Arran Quay B,268002008
434,498,8692.0,8690.0,Pembroke West B,268116006
435,499,8693.0,8691.0,Cabra West C,268035011
436,500,8694.0,8692.0,Ashtown A,268006003
437,501,8695.0,8693.0,Ashtown A,268006019
438,502,8696.0,8694.0,Castleknock-Knockmaroon,267040056
439,503,8697.0,8695.0,Cabra East A,268030010
440,504,8698.0,8696.0,Cabra East A,268030013
441,505,8699.0,8697.0,Botanic A,268027009
442,506,8700.0,8698.0,Ballybrack,267015003
443,507,8701.0,8699.0,Foxrock-Carrickmines,267088016
444,508,8703.0,8701.0,Pembroke East E,268114004
445,509,8704.0,8702.0,Clondalkin-Moorfield,267051009
446,510,8705.0,8703.0,Pembroke West A,268115023
447,511,8706.0,8704.0,Pembroke East C,268112012
449,513,8707.0,8705.0,Botanic A,268027012
450,514,8708.0,8706.0,Firhouse Village,267084004
451,515,8710.0,8708.0,Tallaght-Springfield,267147025/02
452,516,8711.0,8709.0,Templeogue-Kimmage Manor,267150011
453,517,8712.0,8710.0,Terenure-Cherryfield,267155010
454,518,8713.0,8711.0,Walkinstown A,268154006
455,519,8714.0,8712.0,Walkinstown A,268154008
456,520,8715.0,8713.0,Cherry Orchard A,268038001
457,521,8716.0,8714.0,Carna,268039010
458,522,8717.0,8715.0,Firhouse-Ballycullen,267085014/02
459,523,8718.0,8716.0,Edmondstown,267083020
460,524,8721.0,8719.0,Foxrock-Carrickmines,267088002
461,525,8722.0,8720.0,Ashtown B,268007011
462,526,8723.0,8721.0,Ashtown A,268006018
463,527,8724.0,8722.0,Castleknock-Knockmaroon,267040022
464,528,8725.0,8723.0,Castleknock-Knockmaroon,267040057
465,529,8726.0,8724.0,Ballymun E,268019003
466,530,8727.0,8725.0,Inchicore B,268079001
467,531,8728.0,8726.0,Inchicore B,268079002
468,532,8729.0,8727.0,Inchicore B,268079007
469,533,8730.0,8728.0,Churchtown-Castle,267042001
470,534,8731.0,8729.0,Churchtown-Castle,267042004
471,535,8732.0,8730.0,The Ward,267158011/02
472,536,8733.0,8731.0,Dún Laoghaire-Mount Town,267071001
473,537,8734.0,8732.0,Mansion House A,268096001
474,538,8735.0,8733.0,North Dock B,268108017/02
475,539,8736.0,8734.0,Drumcondra South A,268058016/02
476,540,8737.0,8735.0,Castleknock-Park,267041005
477,541,8738.0,8736.0,Ballymun A,268015016
478,542,8739.0,8737.0,Clondalkin-Dunawley,267049037
479,543,8740.0,8738.0,Clondalkin-Dunawley,267049038
480,544,8741.0,8739.0,Dún Laoghaire-Glenageary,267069001
481,545,8742.0,8740.0,Tallaght-Kingswood,267144003
482,546,8745.0,8743.0,Whitehall A,268157004
483,547,8746.0,8744.0,Drumcondra South C,268060002
484,548,8749.0,8747.0,Crumlin B,268052011
485,549,8750.0,8748.0,Kilmainham B,268084004
486,550,8751.0,8749.0,Kilmainham C,268085005
487,551,8752.0,8750.0,Kimmage C,268092010
488,552,8753.0,8751.0,Rathmines West A,268132012
489,553,8755.0,8753.0,Tibradden,267159002
490,554,8756.0,8754.0,Dundrum-Sandyford,267080020
491,555,8757.0,8755.0,Glencullen,267092008/02
492,556,8763.0,8761.0,Shankill-Shanganagh,267122001
494,560,8767.0,8765.0,Ballinteer-Meadowmount,267012007
495,561,8768.0,8766.0,Dundrum-Sandyford,267080019
496,562,8769.0,8767.0,Dundrum-Sandyford,267080002
497,563,8770.0,8768.0,Cabinteely-Kilbogget,267037001
498,564,8794.0,8792.0,Foxrock-Carrickmines,267088003
499,565,8795.0,8793.0,Foxrock-Carrickmines,267088017
500,566,8796.0,8794.0,Foxrock-Carrickmines,267088010
501,567,8797.0,8795.0,Foxrock-Beechpark,267087001
502,568,8798.0,8796.0,Shankill-Rathmichael,267120009
503,569,8799.0,8797.0,Churchtown-Woodlawn,267046001
504,570,8800.0,8798.0,Clonskeagh-Farranboley,267057001
505,571,8803.0,8801.0,Foxrock-Torquay,267090005
506,572,8804.0,8802.0,Foxrock-Carrickmines,267088012
507,573,8805.0,8803.0,Shankill-Shanganagh,267122004
509,575,8806.0,8804.0,Shankill-Rathmichael,267120003
510,576,8814.0,8812.0,Shankill-Shanganagh,267122010
511,577,8815.0,8813.0,Dundrum-Sandyford,267080018
512,578,8816.0,8814.0,Dundrum-Balally,267078019
513,579,8817.0,8815.0,Shankill-Rathmichael,267120017
514,580,8846.0,8844.0,Churchtown-Nutgrove,267044004
515,581,8847.0,8845.0,Cabinteely-Loughlinstown,267038011
516,582,8848.0,8846.0,Ballybrack,267015001
517,583,8849.0,8847.0,Cabinteely-Kilbogget,267037003
518,584,8850.0,8848.0,Churchtown-Orwell,267045006
519,585,8851.0,8849.0,Terenure C,268146003
520,586,8854.0,8852.0,Dundrum-Kilmacud,267079009
521,587,8864.0,8862.0,Clondalkin-Monastery,267050009
522,588,8871.0,8869.0,Tallaght-Kiltipper,267143001/01
523,589,8872.0,8870.0,Tallaght-Kiltipper,267143013
524,590,8887.0,8885.0,Terenure D,268147001
525,591,8888.0,8886.0,Terenure C,268146007
526,592,8889.0,8887.0,Rathfarnham Village,267117002
527,593,8890.0,8888.0,Rathfarnham Village,267117006
528,594,8891.0,8889.0,Ushers F,268153009
529,595,8908.0,8906.0,Bohernabreena,267035006
530,596,8910.0,8908.0,Terenure-St. James,267157004
531,597,8911.0,8909.0,Terenure-St. James,267157010
532,598,8912.0,8910.0,Glencullen,267092044
533,599,8913.0,8911.0,Dundrum-Sandyford,267080001
534,600,8926.0,8924.0,Kimmage C,268092006
535,601,8996.0,8994.0,Malahide West,267106008
537,603,8997.0,8995.0,Portmarnock South,267111002
539,605,8998.0,8996.0,Portmarnock North,267110011
541,607,9026.0,9024.0,Malahide East,267105017/01
542,608,9140.0,9138.0,Swords-Lissenhall,267133033
543,609,9141.0,9139.0,Swords-Seatown,267134010/267134011
545,611,9174.0,9172.0,Malahide East,267105017/02
546,612,9176.0,9174.0,Swords Village,267135001
547,613,9211.0,9209.0,Swords-Forrest,267132001/01
548,614,9218.0,9216.0,Swords-Forrest,267132002
549,615,9219.0,9217.0,Swords-Forrest,267132037
550,616,9220.0,9218.0,Swords-Seatown,267134002
551,617,9221.0,9219.0,Malahide East,267105012
552,618,9222.0,9220.0,Malahide East,267105015
554,620,9223.0,9221.0,Malahide East,267105010
556,622,9226.0,9224.0,Kilmore C,268086005
557,623,9227.0,9225.0,Castleknock-Park,267041011
558,624,9239.0,9237.0,Pembroke East E,268114001
559,625,9240.0,9238.0,Mansion House B,268097001
560,626,9241.0,9239.0,Dún Laoghaire-Sallynoggin East,267072001
561,627,9242.0,9240.0,Dún Laoghaire-Sallynoggin East,267072007
562,628,9253.0,9251.0,Tallaght-Fettercairn,267138001
563,629,9254.0,9252.0,Tallaght-Jobstown,267140023
564,630,9255.0,9253.0,Tallaght-Fettercairn,267138013/02
565,631,9265.0,9263.0,Decies,268057001
566,632,9266.0,9264.0,Inchicore A,268078001
567,633,9267.0,9265.0,Inchicore A,268078002
568,634,9268.0,9266.0,Chapelizod,268037005
569,635,9269.0,9267.0,Kilmainham A,268083001
570,636,9270.0,9268.0,Glencullen,267092038
571,637,9280.0,9278.0,Cabra East B,268031012
572,638,9281.0,9279.0,Dubber,267066009
573,639,9285.0,9283.0,Malahide East,267105003
574,640,9286.0,9284.0,Malahide East,267105020
575,641,9290.0,9288.0,Dún Laoghaire-Sallynoggin West,267074001
576,642,9291.0,9289.0,Stillorgan-Leopardstown,267126009
577,643,9292.0,9290.0,Stillorgan-Leopardstown,267126007
578,644,9293.0,9291.0,Malahide East,267105002
579,645,9294.0,9292.0,Malahide East,267105019
580,646,9303.0,9301.0,Tallaght-Fettercairn,267138017
581,647,9304.0,9302.0,Lucan-Esker,267100010
582,648,9325.0,9323.0,Donabate,267065006
583,649,9326.0,9324.0,Donabate,267065023
585,651,9327.0,9325.0,Donabate,267065028
587,653,9328.0,9326.0,Rush,267118001
589,655,9329.0,9327.0,Rush,267118002
591,657,9330.0,9328.0,Rush,267118004
593,661,9341.0,9339.0,Donabate,267065021/02
594,662,9342.0,9340.0,Donabate,267065021/01
596,666,9348.0,9346.0,Balbriggan Urban,267003018
598,668,9349.0,9347.0,Skerries,267123025
599,669,9350.0,9348.0,Skerries,267123008
601,673,9352.0,9350.0,Donabate,267065011
603,675,9353.0,9351.0,Rush,267118009
604,676,9354.0,9352.0,Lusk,267104014
605,677,9359.0,9357.0,Skerries,267123031
607,679,9362.0,9360.0,Rush,267118017/01
608,680,9363.0,9361.0,Rush,267118027
609,681,9364.0,9362.0,Rush,267118030
611,683,9365.0,9363.0,Balbriggan Rural,267002037
612,688,9442.0,9440.0,Balbriggan Urban,267003015
614,690,9443.0,9441.0,Balbriggan Urban,267003007
616,692,9444.0,9442.0,Balbriggan Rural,267002029
618,694,9488.0,9486.0,Donabate,267065009
