edname,small_area,vector
Grange B,268072003,0.014551255110209453
Beaumont B,268022005,0.01454992517486015
Ayrfield,268008004,0.014543246856509507
Clondalkin-Monastery,267050019,0.014543177005017251
Tallaght-Oldbawn,267146009,0.014543073638598013
Priorswood A,268121005,0.014537075809216366
Blanchardstown-Delwood,267031008,0.014535400174326196
Harmonstown A,268076004,0.01453427846048819
Tallaght-Oldbawn,267146001,0.014516765478707899
Whitehall B,268158005,0.014515925869499964
Tallaght-Oldbawn,267146007,0.014515284044492354
Tallaght-Kingswood,267144006,0.014514855954838047
Tallaght-Belgard,267137002,0.014513913729698982
Finglas South B,268067003,0.014511064445772692
Grange A,268071010,0.014500515338184661
Ayrfield,268008007,0.014493538936548736
Tallaght-Oldbawn,267146005,0.014484442746673688
Balbriggan Urban,267003006,0.014480740971663393
Ballygall C,268011008,0.014474719045499468
Swords-Forrest,267132039,0.01447214527206453
Swords-Lissenhall,267133028,0.014466266697329337
Tallaght-Millbrook,267145007,0.01446433673626101
Beaumont A,268021009,0.014460233111219505
Tallaght-Kingswood,267144009,0.01445587523250432
Beaumont B,268022009,0.0144497520143898
Tallaght-Tymon,267148014,0.014443005321108928
Botanic A,268027002,0.014441725316492173
Grange C,268073005,0.014440586381050101
Sutton,267130005,0.01443910277282134
Beaumont E,268025007,0.014438521750814885
Kilmore D,268087003,0.014437446645247067
Lucan-St. Helen's,267103029,0.014433593283404045
Balbriggan Urban,267003014,0.014431255554218796
Beaumont C,268023002,0.014428775277462398
Clondalkin-Dunawley,267049011,0.014428442992277737
Grange E,268075003,0.014422822138376739
Tallaght-Millbrook,267145004,0.014422104067937655
Grange B,268072014,0.014416450345893114
Lucan-St. Helen's,267103021,0.014415621756368706
Ashtown A,268006004,0.01439999703434144
Clondalkin-Monastery,267050018,0.014397191319127943
Swords Village,267135009,0.014397033778065033
Cabinteely-Pottery,267039016,0.014392705984424976
Swords-Forrest,267132003,0.014392201724528817
Baldoyle,267004008,0.01438824009627617
Tallaght-Oldbawn,267146006,0.014387558803853916
Clondalkin-Dunawley,267049009,0.014386743908950294
Grange D,268074006,0.014385806990228926
Kilmore D,268087007,0.014384155255198611
Harmonstown A,268076006,0.014374328692365703
Ballinteer-Meadowmount,267012004,0.014371559931666642
Tallaght-Belgard,267137004,0.014357516681518374
Ayrfield,268008005,0.014348081118498796
Tallaght-Kilnamanagh,267142014,0.01434442822451106
Grange E,268075005,0.014343995013426751
Edenmore,268062001,0.014341708325605808
Blanchardstown-Coolmine,267029009,0.014340834258801286
Lusk,267104022,0.014338141015383637
Ballygall C,268011001,0.014334713524681287
Newcastle,267107008,0.014332969978495896
Harmonstown A,268076005,0.014323877331919574
Palmerston West,267109017,0.014320524335038711
Blanchardstown-Blakestown,267028018,0.014300696609552955
Beaumont B,268022008,0.014300187095115074
Templeogue-Osprey,267153008,0.014284197533060747
Churchtown-Nutgrove,267044006,0.014283636481258058
Tallaght-Avonbeg,267136003,0.014283502915446179
Lucan-Esker,267100012,0.01427933272371944
Balbriggan Urban,267003019,0.014277691675036607
Grange C,268073006,0.014276839188296954
Shankill-Shanganagh,267122006,0.014274392699883872
Grange E,268075009,0.014273894372792235
Tallaght-Tymon,267148007,0.014271214071742037
Baldoyle,267004027,0.014266718873501201
Ayrfield,268008015,0.014261872454083698
Clondalkin Village,267053028,0.014256418896916433
Ballinteer-Broadford,267008007,0.014252219768509863
Ballinteer-Ludford,267009006,0.014250303307674834
Templeogue-Osprey,267153006,0.014244502905547936
Terenure-Cherryfield,267155008,0.014244117735322862
Tallaght-Springfield,267147002,0.014243059212869924
Beaumont C,268023001,0.014242898198793688
Priorswood E,268123006,0.01424177750010031
Killiney South,267097019,0.014237119394663269
Priorswood E,268123007,0.014236234813699861
Whitehall A,268157010,0.014235715552842745
Newcastle,267107009,0.014231669956793142
Raheny-Greendale,268125007,0.014228028810218233
Beaumont F,268026008,0.014225492646940828
Baldoyle,267004016,0.014224889348211879
Beaumont C,268023005,0.014222186322474798
Grange C,268073001,0.014218137380090229
Ballygall C,268011009,0.014217479471878552
Blanchardstown-Corduff,267030005,0.014213051411630824
Beaumont B,268022006,0.014211374763858071
Finglas South D,268069001,0.014207679276627864
Blanchardstown-Coolmine,267029010,0.01420763330893292
Tallaght-Kilnamanagh,267142003,0.014206361352667757
Swords-Glasmore,267131013,0.014198793707993264
Ayrfield,268008016,0.014198028142355353
Baldoyle,267004015,0.014193007717211487
Tallaght-Tymon,267148002,0.014189712031483132
Beaumont B,268022007,0.014183754281475874
Ballinteer-Ludford,267009004,0.014176619042222366
Templeogue-Cypress,267149007,0.014174645571224916
Beaumont E,268025006,0.014174444554176912
Ballinteer-Meadowmount,267012003,0.014169914373620925
Priorswood A,268121003,0.014168810541573762
Raheny-Foxfield,268124008,0.014168778215041113
Beaumont D,268024005,0.014158449122546705
Templeogue-Cypress,267149002,0.014152850128513758
Rathcoole,267112010,0.014150456279334063
Swords Village,267135008,0.01414749286278581
Rathcoole,267112009,0.014142949965422865
Tallaght-Glenview,267139004,0.014141049558337487
Tallaght-Oldbawn,267146004,0.014131356259979749
Holmpatrick,267094011,0.014126981773213868
Tallaght-Springfield,267147001,0.014125216829107357
Rathcoole,267112007,0.014115784108537695
Tallaght-Kilnamanagh,267142009,0.014115677200151364
Kilmore D,268087002,0.014110814863048238
Grange C,268073003,0.014099388515311756
Malahide West,267106022,0.014094337528932964
Grange E,268075006,0.014092282159189801
Swords-Forrest,267132033,0.014085410252441515
Clondalkin-Rowlagh,267052002,0.014085160892462124
Tallaght-Kingswood,267144002,0.01408426293729583
Blanchardstown-Corduff,267030009,0.014083525491568421
Raheny-Greendale,268125003,0.014083438511269652
Balbriggan Urban,267003018,0.014082943755164367
Firhouse Village,267084033,0.014072934574584249
Firhouse Village,267084017,0.014072720487047254
Tallaght-Tymon,267148013,0.014072492362581419
Edenmore,268062002,0.01407111487737816
Sutton,267130003,0.014067686800711595
Swords-Lissenhall,267133003,0.01406162283004098
Firhouse Village,267084023,0.014061222684343972
Portmarnock North,267110009,0.014057315661122543
Swords-Lissenhall,267133002,0.014054947964313908
Tallaght-Killinardan,267141004,0.014051862308874001
Grange C,268073011,0.014046636185941498
Grange D,268074005,0.01404438714261941
Donabate,267065027/267065031,0.014041590475194652
Dundrum-Balally,267078016,0.014040005939995449
Portmarnock North,267110004,0.014032290761922249
Grange E,268075004,0.014031544108392711
Tallaght-Millbrook,267145011,0.014028079019153764
Balbriggan Urban,267003027,0.014027674941718698
Swords-Lissenhall,267133029,0.014025039400088628
Clondalkin-Rowlagh,267052006,0.014024161502776779
Clondalkin-Moorfield,267051006,0.01402289158010959
Templeogue-Orwell,267152003,0.014009846390980893
Beaumont A,268021011,0.01399999039181781
Priorswood E,268123005,0.013998856400997685
Tallaght-Killinardan,267141009,0.013997983985739109
Churchtown-Nutgrove,267044005,0.013997774928318087
Swords-Glasmore,267131006,0.013995914260606705
Raheny-Foxfield,268124007,0.013986465996520502
Kilsallaghan,267098004,0.013981973635303128
Blanchardstown-Roselawn,267033006,0.013981221213288384
Firhouse Village,267084031,0.013977955170766151
Tallaght-Belgard,267137001,0.013975406509670153
Firhouse Village,267084030,0.013969994293753282
Dundrum-Balally,267078020,0.013967309387277475
Shankill-Rathsallagh,267121001,0.0139623945361252
Killiney South,267097018,0.013960632001624642
Tallaght-Killinardan,267141011,0.013960151450075915
Ballymun C,268017007,0.013960037810182782
Malahide West,267106006,0.013953119833080315
Firhouse Village,267084036,0.013952989974070493
Shankill-Rathsallagh,267121005,0.01394602948388898
Ayrfield,268008006,0.01394571476680438
Rush,267118019,0.01394540449289717
Grange A,268071005,0.013938072705614453
Portmarnock North,267110010,0.013934441106328473
Dundrum-Balally,267078018,0.013932908373881664
Firhouse Village,267084035,0.013931150521511254
Tallaght-Avonbeg,267136007,0.013929619846134004
Ballinteer-Broadford,267008005,0.013926149484454274
Lucan-St. Helen's,267103020,0.01391513401359397
Shankill-Rathsallagh,267121006,0.013912090488175679
Tallaght-Belgard,267137006,0.01391048541735168
Ashtown A,268006003,0.01391000702408165
Clondalkin-Rowlagh,267052005,0.013899747641099688
Blanchardstown-Delwood,267031018,0.013893867859936234
Beaumont A,268021008,0.013891462080269886
Ballymun F,268020009,0.013887984969673079
Palmerston West,267109016,0.01388473600651113
Swords-Glasmore,267131003,0.013876949482086717
Blanchardstown-Delwood,267031006,0.013874813349667201
Swords-Glasmore,267131005,0.013865286614184708
Raheny-Foxfield,268124003,0.013864348690482217
Kimmage C,268092007,0.013858455995567997
Beaumont D,268024003,0.013854906444587037
Palmerston Village,267108016,0.013853245908619688
Grange C,268073010,0.013850209160346965
Firhouse Village,267084024,0.013848364156569707
Pembroke East A,268110017,0.013844679996617563
Tallaght-Tymon,267148011,0.01383018124248325
Ballyboden,267013003,0.013828454128673395
Terenure-Cherryfield,267155009,0.013826593828242898
Swords-Glasmore,267131014,0.013824706123941037
Ballinteer-Ludford,267009005,0.013823222898656527
Portmarnock North,267110008,0.013820299262631718
Grange D,268074009,0.013820271595008145
Tallaght-Springfield,267147022,0.013819296124635911
Cabinteely-Kilbogget,267037007,0.01381854169778693
Tallaght-Springfield,267147010,0.013815606511837393
Clondalkin-Monastery,267050016,0.013815536659428173
Tallaght-Oldbawn,267146012,0.013814422748862906
Clondalkin-Moorfield,267051007,0.01381190813499077
Clondalkin-Rowlagh,267052007,0.013802767554000507
